"filename", "language", "C++", "JSON", "HTML", "Dart", "Markdown", "YAML", "XML", "Swift", "Properties", "Groovy", "comment", "blank", "total"
"c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\lib\Widgets\icons.dart", "Dart", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 6, 39
"c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\lib\Widgets\inputs.dart", "Dart", 0, 0, 0, 110, 0, 0, 0, 0, 0, 0, 0, 11, 121
"c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\lib\Widgets\lists.dart", "Dart", 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 4, 42
"c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\lib\Widgets\rounded_button.dart", "Dart", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 4, 44
"c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\lib\Widgets\rounded_input_field.dart", "Dart", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 3, 38
"c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\lib\Widgets\rounded_password_field.dart", "Dart", 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 1, 6, 45
"c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\lib\Widgets\text_field_container.dart", "Dart", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 3, 26
"c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\lib\Widgets\texts.dart", "Dart", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 4, 30
"c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\lib\login.dart", "Dart", 0, 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 8, 113
"c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\lib\main.dart", "Dart", 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 22, 4, 69
"c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\lib\signup.dart", "Dart", 0, 0, 0, 324, 0, 0, 0, 0, 0, 0, 0, 14, 338
"c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\pubspec.yaml", "YAML", 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 1, 3, 46
"c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\test\widget_test.dart", "Dart", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 10, 7, 31
"c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\web\index.html", "HTML", 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 18, 9, 129
"c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\web\manifest.json", "JSON", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\windows\flutter\generated_plugin_registrant.cc", "C++", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 15
"c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\windows\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\windows\runner\flutter_window.cpp", "C++", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13, 62
"c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\windows\runner\flutter_window.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\windows\runner\main.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\windows\runner\resource.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\windows\runner\utils.cpp", "C++", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 65
"c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\windows\runner\utils.h", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\windows\runner\win32_window.cpp", "C++", 183, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 48, 246
"c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\windows\runner\win32_window.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 22, 99
"Total", "-", 408, 226, 102, 2989, 13, 45, 550, 12, 8, 95, 234, 501, 5183
